1 zimmer|1.5 zimmer|13 zimmer|2 zimmer|2.5 zimmer|20 zimmer|3 zimmer|3.5 zimmer|4 zimmer|4.5 zimmer|5 zimmer|5.5 zimmer|6 zimmer|6.5 zimmer|7 zimmer|address|description|page|price|type|weblink|address_short_1|address_short_2|price2|rooms|size|size_num
0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|In der Looren 56, 8053 Zürich|Ihre neue Wohlfühloase|2|3082|4.5 Zimmer, 107m², CHF 3’082.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4001018762|In der Looren 56|8053 Zürich|CHF 3’082.– |4.5 Zimmer|107m²|107.0
0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Kügeliloostrasse 99, Gebäude F, 8046 Zürich|Moderne Wohnung mit gemütlicher Loggia|2|2443|3.5 Zimmer, 77m², CHF 2’443.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4001018746|||CHF 2’443.– |3.5 Zimmer|77m²|77.0
0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Wirzenweid 27, 8053 Zürich|Bright apartment with the view in a quiet neighborhood|2|5850|4.5 Zimmer, 150m², CHF 5’850.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000996779|Wirzenweid 27|8053 Zürich|CHF 5’850.– |4.5 Zimmer|150m²|150.0
0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|Lyrenweg, 8047 Zürich|Haus: In der Stadt Zürich und doch idyllisch|2|5500|5.5 Zimmer, CHF 5’500.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000816406|Lyrenweg|8047 Zürich|CHF 5’500.– |5.5 Zimmer||
0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|Röslistr. 57, 8006 Zürich|zentral gelegene Wohnung - Mieten ohne Kaution|2|2610|3 Zimmer, 81m², CHF 2’610.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000934333|Röslistr. 57|8006 Zürich|CHF 2’610.– |3 Zimmer|81m²|81.0
0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|Müllerstrasse 76, 8004 Zürich|Mitten in der Stadt Zürich!|2|1710|1.5 Zimmer, 25m², CHF 1’710.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000937464|Müllerstrasse 76|8004 Zürich|CHF 1’710.– |1.5 Zimmer|25m²|25.0
0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Staffelstrasse 5, 8045 Zürich|"Urbanes Wohnen im ""Secret Garden"""|2|3839|3.5 Zimmer, 111m², CHF 3’839.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000937461|Staffelstrasse 5|8045 Zürich|CHF 3’839.– |3.5 Zimmer|111m²|111.0
0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Rolandstrasse 3, 8004 Zürich|Erstvermietung nach Totalsanierung (3.5  Zimmerwohnungen)|2|3190|3.5 Zimmer, 65m², CHF 3’190.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000990823|Rolandstrasse 3|8004 Zürich|CHF 3’190.– |3.5 Zimmer|65m²|65.0
0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|Naphtastr. 4, 8005 Zürich|Modernes Wohnen im Herzen von Zürich!|2|4280|2.5 Zimmer, 109m², CHF 4’280.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000793124|Naphtastr. 4|8005 Zürich|CHF 4’280.– |2.5 Zimmer|109m²|109.0
0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Bucheggstrasse 21, 8037 Zürich|3.5 Zimmerwohnung in Wipkingen|2|3300|3.5 Zimmer, 75m², CHF 3’300.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000861464|Bucheggstrasse 21|8037 Zürich|CHF 3’300.– |3.5 Zimmer|75m²|75.0
0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Winterthurerstrasse 295, 8057 Zürich|Zentrale 3.5 Zimmerwohnung ab 01.06.2024|2|2590|3.5 Zimmer, 71m², CHF 2’590.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000990624|Winterthurerstrasse 295|8057 Zürich|CHF 2’590.– |3.5 Zimmer|71m²|71.0
