page|type|price|address_x|description|weblink|rooms|size|price2|1 zimmer|1.5 zimmer|13 zimmer|2 zimmer|2.5 zimmer|20 zimmer|3 zimmer|3.5 zimmer|4 zimmer|4.5 zimmer|5 zimmer|5.5 zimmer|6 zimmer|6.5 zimmer|7 zimmer|address_short_1|address_short_2|size_num|address_y|latitude|longitude|detail
2|4.5 Zimmer, 107m², CHF 3’082.– |3082|In der Looren 56, 8053 Zürich|Ihre neue Wohlfühloase|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4001018762|4.5 Zimmer|107m²|CHF 3’082.– |0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|In der Looren 56|8053 Zürich|107.0|In der Looren 56, 8053 Zürich|47.36455535888672|8.597229957580566|in der looren 56 8053 zuerich 261 zuerich ch zh
2|3.5 Zimmer, 77m², CHF 2’443.– |2443|Kügeliloostrasse 99, 8046 Zürich|Moderne Wohnung mit gemütlicher Loggia|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4001018746|3.5 Zimmer|77m²|CHF 2’443.– |0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Kügeliloostrasse 99|8046 Zürich|77.0|Kügeliloostrasse 99, 8046 Zürich|47.41554641723633|8.530203819274902|kuegeliloostrasse 99 8046 zuerich 261 zuerich ch zh
2|4.5 Zimmer, 150m², CHF 5’850.– |5850|Wirzenweid 27, 8053 Zürich|Bright apartment with the view in a quiet neighborhood|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000996779|4.5 Zimmer|150m²|CHF 5’850.– |0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Wirzenweid 27|8053 Zürich|150.0|Wirzenweid 27, 8053 Zürich|47.357120513916016|8.58321475982666|wirzenweid 27 8053 zuerich 261 zuerich ch zh
2|5.5 Zimmer, CHF 5’500.– |5500|Lyrenweg, 8047 Zürich|Haus: In der Stadt Zürich und doch idyllisch|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000816406|5.5 Zimmer||CHF 5’500.– |0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|Lyrenweg|8047 Zürich||Lyrenweg, 8047 Zürich|47.374351501464844|8.482234954833984|lyrenweg 1a 8047 zuerich 261 zuerich ch zh
2|3 Zimmer, 81m², CHF 2’610.– |2610|Röslistr. 57, 8006 Zürich|zentral gelegene Wohnung - Mieten ohne Kaution|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000934333|3 Zimmer|81m²|CHF 2’610.– |0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|Röslistr. 57|8006 Zürich|81.0|Lyrenweg, 8047 Zürich|47.37428283691406|8.482403755187988|lyrenweg 1 8047 zuerich 261 zuerich ch zh
2|1.5 Zimmer, 25m², CHF 1’710.– |1710|Müllerstrasse 76, 8004 Zürich|Mitten in der Stadt Zürich!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000937464|1.5 Zimmer|25m²|CHF 1’710.– |0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|Müllerstrasse 76|8004 Zürich|25.0|Lyrenweg, 8047 Zürich|47.37428283691406|8.482293128967285|lyrenweg 1b 8047 zuerich 261 zuerich ch zh
2|3.5 Zimmer, 111m², CHF 3’839.– |3839|Staffelstrasse 5, 8045 Zürich|"Urbanes Wohnen im ""Secret Garden"""|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000937461|3.5 Zimmer|111m²|CHF 3’839.– |0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Staffelstrasse 5|8045 Zürich|111.0|Lyrenweg, 8047 Zürich|47.374515533447266|8.482388496398926|lyrenweg 2 8047 zuerich 261 zuerich ch zh
2|3.5 Zimmer, 65m², CHF 3’190.– |3190|Rolandstrasse 3, 8004 Zürich|Erstvermietung nach Totalsanierung (3.5  Zimmerwohnungen)|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000990823|3.5 Zimmer|65m²|CHF 3’190.– |0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Rolandstrasse 3|8004 Zürich|65.0|Lyrenweg, 8047 Zürich|47.37460708618164|8.482341766357422|lyrenweg 4 8047 zuerich 261 zuerich ch zh
2|2.5 Zimmer, 109m², CHF 4’280.– |4280|Naphtastr. 4, 8005 Zürich|Modernes Wohnen im Herzen von Zürich!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000793124|2.5 Zimmer|109m²|CHF 4’280.– |0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|Naphtastr. 4|8005 Zürich|109.0|Lyrenweg, 8047 Zürich|47.37462615966797|8.482161521911621|lyrenweg 6 8047 zuerich 261 zuerich ch zh
2|3.5 Zimmer, 75m², CHF 3’300.– |3300|Bucheggstrasse 21, 8037 Zürich|3.5 Zimmerwohnung in Wipkingen|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000861464|3.5 Zimmer|75m²|CHF 3’300.– |0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Bucheggstrasse 21|8037 Zürich|75.0|Lyrenweg, 8047 Zürich|47.374610900878906|8.481756210327148|lyrenweg 7 8047 zuerich 261 zuerich ch zh
2|3.5 Zimmer, 71m², CHF 2’590.– |2590|Winterthurerstrasse 295, 8057 Zürich|Zentrale 3.5 Zimmerwohnung ab 01.06.2024|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000990624|3.5 Zimmer|71m²|CHF 2’590.– |0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Winterthurerstrasse 295|8057 Zürich|71.0|Lyrenweg, 8047 Zürich|47.37471008300781|8.48205852508545|lyrenweg 8 8047 zuerich 261 zuerich ch zh
2|2.5 Zimmer, 56m², CHF 4’095.– |4095|Dienerstrasse 8, 8004 Zürich|2 ½ Zimmer-Wohnung, 8004 Zürich|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000836018|2.5 Zimmer|56m²|CHF 4’095.– |0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|Dienerstrasse 8|8004 Zürich|56.0|Lyrenweg, 8047 Zürich|47.374698638916016|8.482243537902832|lyrenweg 8a 8047 zuerich 261 zuerich ch zh
2|1.5 Zimmer, 56m², CHF 3’020.– |3020|Seefeldstrasse 102, 8008 Zürich|Stilvolles Wohnen im Trendquartier Seefeld|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000951176|1.5 Zimmer|56m²|CHF 3’020.– |0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|Seefeldstrasse 102|8008 Zürich|56.0|Lyrenweg, 8047 Zürich|47.374916076660156|8.481522560119629|lyrenweg 9 8047 zuerich 261 zuerich ch zh
2|3.5 Zimmer, 140m², CHF 6’790.– |6790|Sonneggstrasse 45, 8006 Zürich|Traumwohnung mit Blick über die Stadt|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000861392|3.5 Zimmer|140m²|CHF 6’790.– |0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Sonneggstrasse 45|8006 Zürich|140.0|Lyrenweg, 8047 Zürich|47.37493896484375|8.481947898864746|lyrenweg 10 8047 zuerich 261 zuerich ch zh
