price,address,rooms,size,latitude,longitude,distance_hospital,lr_day,lr_night,distance_ov,wbauj,modern,erstvermietung,zentral,see,neu,stöckig,traum,bijou,neubau,balkon,charmant,erstbezug,1 Zimmer,1.5 Zimmer,2 Zimmer,2.5 Zimmer,3 Zimmer,3.5 Zimmer,4 Zimmer,4.5 Zimmer,5 Zimmer,5.5 Zimmer,6 Zimmer,6.5 Zimmer,7 Zimmer,7.5 Zimmer,y0,y1999,y2000,y2001,y2003,y2004,y2005,y2006,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024
4032,"Käferholzstrasse 42, 8057 Zürich",4.5,114,47.401912689208984,8.531828880310059,0.8881023842628276,32.2,25.3,0.20672444264774292,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3220,"Grabenwies 2, 8057 Zürich",2.5,90,47.40153503417969,8.536803245544434,1.485067879244478,50.3,42.8,0.13144340359480816,1999,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720,"Herrligweg 9, 8048 Zürich",1.5,24,47.389892578125,8.484477996826172,2.688730362092503,42.7,36.2,0.152095175437884,2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2600,"Hagenholzstrasse 59, 8050 Zürich",2.5,54,47.41465759277344,8.555407524108887,0.647988998858256,61.6,50.3,0.027031983216772113,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4090,"Widmerstrasse 87, 8038 Zürich",4.5,105,47.334983825683594,8.53151798248291,1.9512909743999907,48.1,36.2,0.12723209550381692,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,"Herrligweg 9, 8048 Zürich",1.5,26,47.389892578125,8.484477996826172,2.688730362092503,42.7,36.2,0.152095175437884,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4835,"Albulastrasse 60, 8048 Zürich",3.5,180,47.38902282714844,8.492106437683105,2.429297774649999,48.1,40.7,0.1505017153384288,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,"Albulastrasse 50, 8048 Zürich",1.0,18,47.38846206665039,8.493203163146973,2.3534906323507276,44.4,37.7,0.13081590385620526,2010,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4227,"Käferholzstrasse 42, 8057 Zürich",4.5,117,47.401912689208984,8.531828880310059,0.8881023842628276,32.2,25.3,0.20672444264774292,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4262,"Käferholzstrasse 58, 8057 Zürich",4.5,117,47.402618408203125,8.531781196594238,0.9192533694572566,33.3,26.6,0.14038256666116683,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
